model,basket_size,hold_months,is_ann_return,is_sharpe,is_sortino,is_calmar,spy_is_sharpe,oos_ann_return,oos_sharpe,oos_sortino,oos_calmar,spy_oos_sharpe,pre_shock_ann_return,pre_shock_sharpe,post_shock_ann_return,post_shock_sharpe,post_shock_sector_exposure,full_oos_sector_exposure
two_factor,100,3,11.63,0.414,0.332,0.246,0.434,10.7,0.268,0.305,,0.78,,,34.33,1.891,XLK:22.0%; XLF:21.5%; XLI:18.5%; XLV:11.0%; XLY:10.5%,XLF:22.0%; XLK:20.3%; XLI:19.0%; XLV:10.7%; XLY:9.3%
two_factor,100,6,11.4,0.401,0.281,0.269,0.436,,,,,,,,35.84,,XLF:28.0%; XLK:23.0%; XLI:17.0%; XLY:12.0%; XLV:9.0%,XLF:23.0%; XLI:20.0%; XLK:17.0%; XLV:10.0%; XLU:7.0%
three_factor,5,1,16.59,0.57,0.627,0.413,0.403,9.93,0.227,0.345,1.326,1.048,-45.5,-22.617,35.76,1.277,XLK:40.0%; XLI:32.5%; XLV:12.5%; XLP:7.5%; XLF:5.0%,XLI:38.2%; XLK:32.7%; XLV:10.9%; XLF:7.3%; XLP:5.5%
three_factor,5,2,17.5,0.634,0.678,0.533,0.417,-2.59,-0.439,-0.333,-1.333,1.07,-53.32,,26.53,0.984,XLK:50.0%; XLI:15.0%; XLV:15.0%; XLP:10.0%; XLY:5.0%,XLI:60.0%; XLK:28.0%; XLV:4.0%; XLF:4.0%; XLU:4.0%
three_factor,5,3,17.49,0.605,0.756,0.42,0.434,11.32,0.319,0.322,,0.78,,,36.51,11.147,XLK:50.0%; XLI:30.0%; XLY:10.0%; XLP:10.0%,XLI:46.7%; XLK:33.3%; XLV:6.7%; XLY:6.7%; XLP:6.7%
three_factor,5,6,15.83,0.669,0.716,0.41,0.436,,,,,,,,37.27,,XLK:60.0%; XLY:20.0%; XLP:20.0%,XLI:80.0%; XLV:20.0%
three_factor,10,1,14.53,0.506,0.511,0.33,0.403,29.58,0.939,1.815,3.967,1.048,-38.25,-3.024,56.29,1.769,XLK:33.8%; XLI:32.5%; XLV:12.5%; XLY:7.5%; XLP:6.2%,XLI:31.8%; XLK:29.1%; XLV:15.5%; XLY:6.4%; XLP:5.5%
three_factor,10,2,15.78,0.575,0.598,0.408,0.417,27.24,0.968,1.47,10.844,1.07,-31.72,,51.09,2.087,XLK:40.0%; XLI:27.5%; XLV:15.0%; XLY:7.5%; XLP:7.5%,XLI:38.0%; XLK:24.0%; XLV:12.0%; XLU:8.0%; XLY:6.0%
three_factor,10,3,14.95,0.533,0.505,0.33,0.434,40.26,1.239,2.867,,0.78,,,76.59,3.923,XLK:45.0%; XLI:25.0%; XLY:15.0%; XLP:5.0%; XLU:5.0%,XLI:30.0%; XLK:30.0%; XLV:10.0%; XLY:10.0%; XLB:6.7%
three_factor,10,6,13.38,0.515,0.479,0.33,0.436,,,,,,,,38.09,,XLK:60.0%; XLY:20.0%; XLI:10.0%; XLP:10.0%,XLI:40.0%; XLV:30.0%; XLB:20.0%; XLU:10.0%
