rank,run_id,mom_lookback,mom_skip,ma_short,ma_long,w_momentum,w_ma,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_months
130,mom12_skip0_ma1-6_w5-5,12,0,1,6,0.5,0.5,9.92,19.86,0.226,-22.83,0.434,54
131,mom3_skip0_ma1-12_w7-3,3,0,1,12,0.7,0.3,9.17,18.9,0.201,-20.15,0.455,58
132,mom12_skip0_ma1-6_w7-3,12,0,1,6,0.7,0.3,9.45,20.37,0.199,-24.39,0.387,54
133,mom9_skip0_ma6-12_w3-7,9,0,6,12,0.3,0.7,9.65,21.87,0.194,-28.29,0.341,52
134,mom3_skip0_ma1-6_w3-7,3,0,1,6,0.3,0.7,9.05,19.12,0.193,-15.63,0.579,58
135,mom12_skip1_ma3-12_w7-3,12,1,3,12,0.7,0.3,9.48,22.03,0.186,-23.49,0.404,48
136,mom12_skip1_ma6-12_w7-3,12,1,6,12,0.7,0.3,9.52,22.54,0.183,-25.86,0.368,48
137,mom12_skip1_ma1-6_w7-3,12,1,1,6,0.7,0.3,8.72,21.81,0.155,-21.87,0.399,54
138,mom9_skip0_ma3-12_w7-3,9,0,3,12,0.7,0.3,8.33,21.33,0.142,-26.19,0.318,52
139,mom9_skip0_ma6-12_w5-5,9,0,6,12,0.5,0.5,8.32,22.05,0.137,-28.79,0.289,52
140,mom3_skip0_ma1-6_w5-5,3,0,1,6,0.5,0.5,7.87,18.92,0.137,-20.16,0.39,58
141,mom12_skip1_ma1-6_w3-7,12,1,1,6,0.3,0.7,7.01,19.01,0.094,-19.27,0.364,54
142,mom12_skip0_ma1-6_w3-7,12,0,1,6,0.3,0.7,6.63,18.72,0.077,-21.92,0.303,54
143,mom9_skip0_ma1-6_w3-7,9,0,1,6,0.3,0.7,5.64,19.19,0.026,-22.52,0.25,54
