date,rolling_corr,rolling_beta,beta_ci_lo,beta_ci_hi
2011-12-31,0.20162280067935412,0.009984061792258204,-0.0029235110154324055,0.022891634599948814
2012-01-31,0.1866116787419339,0.009117043180775606,-0.003524659770864351,0.021758746132415564
2012-02-29,0.1741925696488168,0.008401263836863297,-0.003987277594685298,0.02078980526841189
2012-03-31,0.17982514500698882,0.008592008808928353,-0.0036150929485968264,0.020799110566453533
2012-04-30,0.19926066497301242,0.009494778080471082,-0.002652989567331794,0.021642545728273958
2012-05-31,0.18384366333482677,0.008522963082103673,-0.003335040433248811,0.020380966597456154
2012-06-30,0.18707290879203214,0.008585545275396268,-0.003094375848608494,0.02026546639940103
2012-07-31,0.17976882296290386,0.008159757462288118,-0.0033866362209878324,0.019706151145564066
2012-08-31,0.17938063171541596,0.007880494412684886,-0.0034277186556927776,0.01918870748106255
2012-09-30,0.2309857127558158,0.009138808021985413,-0.0016391537606435923,0.019916769804614418
2012-10-31,0.2635323366399689,0.009759231567200618,-0.0006648845803140877,0.020183347714715326
2012-11-30,0.25850714985217293,0.009516683805616788,-0.0009145830252428652,0.01994795063647644
2012-12-31,0.2597679615514865,0.009531182084687648,-0.0009389036230140792,0.020001267792389376
2013-01-31,0.3204742351601274,0.01124930840456783,0.001261169482221696,0.021237447326913964
2013-02-28,0.2864431169213344,0.009922665618153765,-0.000230717920955803,0.020076049157263333
2013-03-31,0.20942277844058688,0.006623635902369227,-0.0014893566421692699,0.014736628446907724
2013-04-30,0.15399109651885234,0.004938701319582416,-0.003377933726819148,0.01325533636598398
2013-05-31,0.14900410881096285,0.005025552911821591,-0.004331825400075569,0.014382931223718752
2013-06-30,0.0757662014268196,0.0026945852019132706,-0.007349368131762339,0.01273853853558888
2013-07-31,0.03499305022813884,0.0013260719883379842,-0.00994733008747514,0.01259947406415111
2013-08-31,-0.03701349710322013,-0.0015021165376982455,-0.013731845430335003,0.010727612354938514
2013-09-30,0.05006737982431453,0.0021542986293686117,-0.008460852591453181,0.012769449850190405
2013-10-31,0.04849659804879058,0.0023601248613356295,-0.011772044306687556,0.016492294029358815
2013-11-30,-0.03102516438200946,-0.0017366512628905102,-0.01850796668371916,0.015034664157938138
2013-12-31,0.007452881722683314,0.0004945826536776434,-0.02339540001404325,0.024384565321398537
2014-01-31,-0.04755888966619806,-0.003780944955652312,-0.043094441755181026,0.03553255184387641
2014-02-28,-0.16596948875786943,-0.015261578213524429,-0.06327882589253613,0.03275566946548726
2014-03-31,-0.29218097670842963,-0.03159738294235638,-0.06538347921612025,0.0021887133314075005
2014-04-30,-0.17204880819161752,-0.021637029513825096,-0.07245137159418231,0.029177312566532124
2014-05-31,-0.04737557392849675,-0.006735963755390302,-0.05555313712538459,0.04208120961460398
2014-06-30,-0.058090403973729415,-0.008856693134078905,-0.0641514261815794,0.04643803991342159
2014-07-31,-0.006837590014582048,-0.0010074508367957907,-0.0520007506868295,0.04998584901323792
2014-08-31,-0.06925313702418018,-0.01031473776712272,-0.05795031845050859,0.037320842916263156
2014-09-30,-0.11354161770749518,-0.01758833002721163,-0.06842656140755977,0.03324990135313652
2014-10-31,-0.10969238526901266,-0.017010897620572785,-0.0692031815073875,0.03518138626624193
2014-11-30,-0.1401796259334789,-0.020133320534025136,-0.0675892267888164,0.027322585720766134
2014-12-31,-0.13801305182859613,-0.021214826296979176,-0.07549065972747368,0.03306100713351532
2015-01-31,-0.17318270659639678,-0.026954591638319654,-0.08188880431915516,0.027979621042515848
2015-02-28,-0.17366769570466284,-0.027129843529646532,-0.08268932436719724,0.02842963730790417
2015-03-31,-0.1666363115557848,-0.025705761396468865,-0.08046877577879594,0.0290572529858582
2015-04-30,-0.16574502841475924,-0.024897649169415993,-0.07798036832047985,0.028185069981647864
2015-05-31,-0.16359159440776222,-0.024414549823653285,-0.07757989807513611,0.028750798427829544
2015-06-30,-0.15945986314890534,-0.023972737118459805,-0.07787299474223261,0.029927520505313
2015-07-31,-0.0746386264030385,-0.01122072136827698,-0.062240259074584525,0.03979881633803056
2015-08-31,0.04786272957241088,0.007003129393957983,-0.03463431951679543,0.04864057830471139
2015-09-30,-0.04932209983318091,-0.0068613002890398934,-0.04159681293733958,0.027874212359259787
2015-10-31,-0.02210156432616861,-0.003139511955661905,-0.03848186858282468,0.03220284467150086
2015-11-30,-0.04181972549531934,-0.00613851887491056,-0.043494510220184246,0.031217472470363123
2015-12-31,-0.042114662218188104,-0.006389829193524432,-0.0452767313970281,0.032497073009979234
2016-01-31,-0.05374450378081971,-0.007984775716819912,-0.04589952616917729,0.029929974735537473
